trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.005, 'e': 0.574072261196436}",20,0,-10.228762084471692,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.005, 'e': 0.5712090638488149}",20,16,5.766340845236966,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.005, 'e': 0.5683601467575404}",20,0,8.29796902111503,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.005, 'e': 0.5655254386995371}",20,0,-135.93884740519056,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
116,False,"{'a': 0.005, 'e': 0.5627048688069557}",20,0,-70.86518221699262,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.005, 'e': 0.559898366565402}",20,0,-93.38017995925894,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
118,False,"{'a': 0.005, 'e': 0.5571058618121739}",25,8,-1.0201244147828366,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.005, 'e': 0.5543272847345071}",20,0,-52.49548396126857,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.005, 'e': 0.5515625658678298}",25,14,17.505389108162348,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.005, 'e': 0.5488116360940265}",25,0,-170.89322363988958,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
122,False,"{'a': 0.005, 'e': 0.5460744266397094}",20,0,-3.6384076774979017,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 0.005, 'e': 0.5433508690744998}",30,0,-92.27412636365081,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
124,False,"{'a': 0.005, 'e': 0.5406408953093166}",20,7,1.3212652339139337,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.005, 'e': 0.5379444375946745}",20,0,-51.82534769653743,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
