trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",30,15,-88.78579443164134,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-36.354379862963896,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,4,-5.349823565171575,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-10.631446674376056,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,9,4.123745233708859,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,4,-53.42645229966967,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,18,13.322430546110569,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,6,-29.925687484987396,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",30,12,17.043933144878846,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,8,15.863853637100535,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,16,9.407808741639652,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
